,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
1413,1413,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,1413,28027,76.3,62.1,92.9,21,2.3,-16.7,25.6,2,579
2252,2252,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2252,42019,61.4,56.9,66.1,143,0.4,-16.3,20.4,2,329
2931,2931,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2931,51680,75.9,67.4,85.1,61,5.4,-11.2,25.1,2,1732
3086,3086,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,3086,55079,71.1,68.6,73.6,658,-1.7,-6.3,3.1,2,1924
1778,1778,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,1778,34011,73.4,67.6,79.6,122,-6.9,-15.5,2.5,2,685
1995,1995,1995,38013,* ,*, *,3 or fewer,*,*,*,1995,38013,* ,*, *,3 or fewer,*,*,*,1995,38013,* ,*, *,3 or fewer,*,*,*,1995,38013,* ,*, *,3 or fewer,*,*,*,1995,38013,* ,*, *,3 or fewer,*,*,*,1995,38013,* ,*, *,3 or fewer,*,*,*,1995,38013,* ,*, *,3 or fewer,*,*,*,3,315
672,672,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,672,17157,78.6,67,91.8,33,-0.2,-27.7,37.9,2,2377
1691,1691,1691,31077,* ,*, *,3 or fewer,*,*,*,1691,31077,* ,*, *,3 or fewer,*,*,*,1691,31077,* ,*, *,3 or fewer,*,*,*,1691,31077,* ,*, *,3 or fewer,*,*,*,1691,31077,* ,*, *,3 or fewer,*,*,*,1691,31077,* ,*, *,3 or fewer,*,*,*,1691,31077,* ,*, *,3 or fewer,*,*,*,3,1103
1813,1813,1813,35035,58.5,51,66.8,45,1,-0.1,2,1813,35035,58.5,51,66.8,45,1,-0.1,2,1813,35035,58.5,51,66.8,45,1,-0.1,2,1813,35035,58.5,51,66.8,45,1,-0.1,2,1813,35035,58.5,51,66.8,45,1,-0.1,2,1813,35035,58.5,51,66.8,45,1,-0.1,2,1813,35035,58.5,51,66.8,45,1,-0.1,2,2,2159
3083,3083,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,3083,55075,72.3,63.2,82.5,47,-11.3,-18.1,-4,1,1785
591,591,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,591,16083,53.4,46.7,60.9,47,-8.9,-21.1,5.1,2,2838
2606,2606,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2606,48169,61.3,36.2,97.1,4,26.3,-34.3,142.5,2,1020
888,888,888,20003,_ ,_, _,_,_,_,_,888,20003,_ ,_, _,_,_,_,_,888,20003,_ ,_, _,_,_,_,_,888,20003,_ ,_, _,_,_,_,_,888,20003,_ ,_, _,_,_,_,_,888,20003,_ ,_, _,_,_,_,_,888,20003,_ ,_, _,_,_,_,_,5,59
1950,1950,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,1950,37123,71.3,59.4,85.1,26,-2.5,-19.7,18.3,2,1984
2040,2040,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2040,38103,40.6,24,70.4,4,2.5,-31.7,53.8,2,3017
2051,2051,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2051,39019,79.7,67.3,93.9,31,-5.8,-22.2,14.2,2,403
213,213,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,213,6057,47.3,42.5,52.6,75,-5.3,-18.3,9.8,2,2054
778,778,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,778,18165,92.6,75.3,113.1,20,-0.8,-17,18.5,2,2890
2211,2211,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2211,41009,63.2,54.3,73.3,38,3.7,-2.3,10,2,609
800,800,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,800,19025,54.6,39.3,75,9,-0.8,-2.3,0.6,2,352
2601,2601,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2601,48159,78.4,59.7,102,12,1.6,-19.9,29,2,974
1610,1610,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,1610,30027,58.5,44.2,77.2,12,-10.6,-37.1,27.1,2,923
1697,1697,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,1697,31089,49.5,34.9,69.1,8,-8.2,-30.4,21.2,2,1283
2398,2398,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2398,46077,62.6,41.2,94.1,6,2.3,-30.9,51.5,2,1509
2791,2791,2791,49031,* ,*, *,3 or fewer,*,*,*,2791,49031,* ,*, *,3 or fewer,*,*,*,2791,49031,* ,*, *,3 or fewer,*,*,*,2791,49031,* ,*, *,3 or fewer,*,*,*,2791,49031,* ,*, *,3 or fewer,*,*,*,2791,49031,* ,*, *,3 or fewer,*,*,*,2791,49031,* ,*, *,3 or fewer,*,*,*,3,2276
1689,1689,1689,31073,* ,*, *,3 or fewer,*,*,*,1689,31073,* ,*, *,3 or fewer,*,*,*,1689,31073,* ,*, *,3 or fewer,*,*,*,1689,31073,* ,*, *,3 or fewer,*,*,*,1689,31073,* ,*, *,3 or fewer,*,*,*,1689,31073,* ,*, *,3 or fewer,*,*,*,1689,31073,* ,*, *,3 or fewer,*,*,*,3,1063
2999,2999,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2999,54017,40,24.8,62.2,4,38.5,-12,117.9,2,792
1343,1343,1343,27061,_ ,_, _,_,_,_,_,1343,27061,_ ,_, _,_,_,_,_,1343,27061,_ ,_, _,_,_,_,_,1343,27061,_ ,_, _,_,_,_,_,1343,27061,_ ,_, _,_,_,_,_,1343,27061,_ ,_, _,_,_,_,_,1343,27061,_ ,_, _,_,_,_,_,5,1356
273,273,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,273,8059,43.7,41.3,46.2,262,-1.8,-9.2,6.2,2,1398
71,71,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,71,2050,62.7,40.3,91.9,6,-26.1,-50.8,11.1,2,199
1988,1988,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,1988,37199,86.3,71.5,103.9,25,16.6,-29,91.4,2,3118
1087,1087,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,1087,21191,97.9,77.2,122.6,16,-5.3,-29.1,26.5,2,2213
394,394,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,394,13017,84,67.3,103.8,18,9.1,-13.6,37.7,2,174
583,583,583,16067,54.8,42,70.5,13,5.1,-7.9,20,583,16067,54.8,42,70.5,13,5.1,-7.9,20,583,16067,54.8,42,70.5,13,5.1,-7.9,20,583,16067,54.8,42,70.5,13,5.1,-7.9,20,583,16067,54.8,42,70.5,13,5.1,-7.9,20,583,16067,54.8,42,70.5,13,5.1,-7.9,20,583,16067,54.8,42,70.5,13,5.1,-7.9,20,2,1931
3029,3029,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,3029,54077,68.1,57.6,80.2,31,4.5,-3.2,12.9,2,2333
2117,2117,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2117,39151,68.1,64.8,71.5,338,-1.8,-5.7,2.2,2,2678
2409,2409,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2409,46099,65.3,59.8,71.1,110,5.8,-3.5,16,2,1932
500,500,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,500,13233,102,89.3,115.9,48,-5.1,-22.8,16.7,2,2292
3129,3129,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,3129,56023,32.1,22,45.6,7,6.7,-37.9,83.2,2,1680
2334,2334,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2334,45039,57.9,46.4,71.6,18,-2.2,-27.5,31.8,2,900
3119,3119,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,3119,56003,41.8,28.8,59.2,7,-13.5,-34.7,14.7,2,205
2872,2872,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2872,51111,67.5,51.4,87.6,12,14.4,-16.7,57.1,2,1728
2596,2596,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2596,48149,54.2,44.2,66.1,22,5.7,-15.8,32.7,2,920
1259,1259,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,1259,26059,62.4 #  ,53.7,72.1,39,-2.4,-7.5,2.9,2,1271
1789,1789,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1789,34033,72.8,64.8,81.6,62,-1.1,-1.8,-0.3,1,2485
2375,2375,2375,46031,* ,*, *,3 or fewer,*,*,*,2375,46031,* ,*, *,3 or fewer,*,*,*,2375,46031,* ,*, *,3 or fewer,*,*,*,2375,46031,* ,*, *,3 or fewer,*,*,*,2375,46031,* ,*, *,3 or fewer,*,*,*,2375,46031,* ,*, *,3 or fewer,*,*,*,2375,46031,* ,*, *,3 or fewer,*,*,*,3,636
205,205,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,205,6041,41.6,38.5,44.8,145,-1.6,-2.2,-1.1,1,1784
733,733,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,733,18075,68.9,55.2,85.2,18,-4.9,-34.5,38.3,2,1393
1694,1694,1694,31083,* ,*, *,3 or fewer,*,*,*,1694,31083,* ,*, *,3 or fewer,*,*,*,1694,31083,* ,*, *,3 or fewer,*,*,*,1694,31083,* ,*, *,3 or fewer,*,*,*,1694,31083,* ,*, *,3 or fewer,*,*,*,1694,31083,* ,*, *,3 or fewer,*,*,*,1694,31083,* ,*, *,3 or fewer,*,*,*,3,1202
526,526,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,526,13285,71.1,62.6,80.5,52,-6.6,-19.3,8.1,2,2824
1532,1532,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,1532,29101,66.1,56.2,77.2,33,0,-13.2,15.2,2,1441
898,898,898,20023,_ ,_, _,_,_,_,_,898,20023,_ ,_, _,_,_,_,_,898,20023,_ ,_, _,_,_,_,_,898,20023,_ ,_, _,_,_,_,_,898,20023,_ ,_, _,_,_,_,_,898,20023,_ ,_, _,_,_,_,_,898,20023,_ ,_, _,_,_,_,_,5,488
377,377,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,377,12117,54.2,51.1,57.3,246,-4.8,-7.5,-2,1,2561
1918,1918,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,1918,37059,81.6,71.4,93.1,47,1.7,-9.6,14.4,2,722
2898,2898,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2898,51169,72.1,59.9,86.5,25,-0.6,-32.8,47,2,2553
1690,1690,1690,31075,* ,*, *,3 or fewer,*,*,*,1690,31075,* ,*, *,3 or fewer,*,*,*,1690,31075,* ,*, *,3 or fewer,*,*,*,1690,31075,* ,*, *,3 or fewer,*,*,*,1690,31075,* ,*, *,3 or fewer,*,*,*,1690,31075,* ,*, *,3 or fewer,*,*,*,1690,31075,* ,*, *,3 or fewer,*,*,*,3,1083
