,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
1468,1468,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,1468,28137,87.8,73.2,104.4,27,6.3,-8.3,23.3,2,2757
1536,1536,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,1536,29109,66.5,56.7,77.6,34,-2.3,-15.6,13,2,1607
1556,1556,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,1556,29149,65.2,49.3,85.6,12,0.1,-21.4,27.3,2,2145
2866,2866,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2866,51099,92.7,74.6,113.8,19,9.1,-18.4,45.8,2,1502
2535,2535,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2535,48027,81.5,76.5,86.8,200,-2.5,-5.7,0.8,2,171
218,218,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,218,6067,56.9,55.1,58.7,793,-2.8,-6.2,0.8,2,2480
291,291,291,8095,53,32,85.6,4,-7.2,-32.8,28,291,8095,53,32,85.6,4,-7.2,-32.8,28,291,8095,53,32,85.6,4,-7.2,-32.8,28,291,8095,53,32,85.6,4,-7.2,-32.8,28,291,8095,53,32,85.6,4,-7.2,-32.8,28,291,8095,53,32,85.6,4,-7.2,-32.8,28,291,8095,53,32,85.6,4,-7.2,-32.8,28,2,2242
3055,3055,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,3055,55019,52.3,42.8,63.3,22,-9,-19.6,3,2,531
857,857,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,857,19139,62.8,53.1,73.8,31,-0.3,-1.3,0.7,2,2028
2425,2425,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,2425,46135,61.4,49.2,76.1,18,-8.5,-15,-1.5,1,3119
